2017-02-13 23:53:30,530 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: DistributedSystems:DistributedSystems:0.0.1-SNAPSHOT @ /Users/liushiyao/Documents/workspace/DistributedSystemInJava/DistributedSystems/pom.xml.
2017-02-13 23:53:30,747 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /DistributedSystems/src
2017-02-13 23:53:30,748 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /DistributedSystems/src/test/java because it overlaps with /DistributedSystems/src
2017-02-13 23:53:30,804 [Worker-0] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2017-02-13 23:53:30,943 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-13 23:53:30,944 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/liushiyao/Documents/workspace/DistributedSystemInJava/DistributedSystems/src/main/resources
2017-02-13 23:53:30,946 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-13 23:53:30,946 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/liushiyao/Documents/workspace/DistributedSystemInJava/DistributedSystems/src/test/resources
2017-02-13 23:53:36,498 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-13 23:53:36,500 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/liushiyao/Documents/workspace/DistributedSystemInJava/DistributedSystems/src/main/resources
2017-02-13 23:53:36,501 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-13 23:53:36,502 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/liushiyao/Documents/workspace/DistributedSystemInJava/DistributedSystems/src/test/resources
2017-02-13 23:55:55,087 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
